model,feature,mean_abs_attribution,rank
XGBoost,num_rev_accts,0.025994651519283252,35
XGBoost,avg_cur_bal,0.024098002672193617,36
XGBoost,mo_sin_old_il_acct,0.02305983276677364,37
XGBoost,num_actv_bc_tl,0.01686460438358165,38
XGBoost,num_bc_sats,0.01674630418929064,39
XGBoost,tot_cur_bal,0.016142966091340895,40
XGBoost,total_bal_ex_mort,0.015550840701889683,41
XGBoost,num_accts_ever_120_pd,0.014421412650019193,42
XGBoost,pub_rec,0.008412351680949087,43
XGBoost,num_op_rev_tl,0.006419305721502724,44
XGBoost,num_bc_tl,0.005779435357912206,45
XGBoost,num_actv_rev_tl,0.005738615875965706,46
XGBoost,application_type,0.004722199103437383,47
XGBoost,initial_list_status,0.0037877728535655707,48
XGBoost,pub_rec_bankruptcies,0.003765811232005447,49
XGBoost,collections_12_mths_ex_med,0.0036674692411133945,50
XGBoost,open_acc,0.003242226928244767,51
XGBoost,num_sats,0.003194630012192192,52
XGBoost,tot_coll_amt,0.002926448719682753,53
XGBoost,num_tl_90g_dpd_24m,0.0012920585083270523,54
XGBoost,delinq_amnt,0.0008404547452655607,55
XGBoost,tax_liens,0.0004032327509268425,56
XGBoost,num_tl_30dpd,0.0003873114988573434,57
XGBoost,chargeoff_within_12_mths,0.00035757063315963934,58
XGBoost,acc_now_delinq,1.3802376944624939e-05,59
XGBoost,disbursement_method,0.0,60
XGBoost,fico_range_high,0.0,61
XGBoost,num_tl_120dpd_2m,0.0,62
CatBoost,term,0.4059810939018573,1
CatBoost,loan_amnt,0.21463838334636304,2
CatBoost,acc_open_past_24mths,0.1675871945937315,3
CatBoost,annual_inc,0.16663968358014314,4
CatBoost,dti,0.16227501984304615,5
CatBoost,addr_state,0.11623465258886152,6
CatBoost,purpose,0.10752147767590903,7
CatBoost,fico_range_high,0.10270923865069342,8
CatBoost,home_ownership,0.09727602956327243,9
CatBoost,fico_range_low,0.09510971038807554,10
CatBoost,num_tl_op_past_12m,0.08100795684979882,11
CatBoost,total_bc_limit,0.07554732374056906,12
CatBoost,mo_sin_old_rev_tl_op,0.06981715952140033,13
CatBoost,mths_since_recent_bc,0.06951105528182351,14
CatBoost,percent_bc_gt_75,0.06119502542095769,15
CatBoost,mths_since_recent_inq,0.06100646259254566,16
CatBoost,tot_hi_cred_lim,0.055222017543699375,17
CatBoost,bc_open_to_buy,0.05336480473011191,18
CatBoost,inq_last_6mths,0.05319180685940827,19
CatBoost,verification_status,0.05017535794184611,20
CatBoost,delinq_2yrs,0.048344545712237535,21
CatBoost,revol_bal,0.047902982504467166,22
CatBoost,mo_sin_rcnt_rev_tl_op,0.04574318086571872,23
CatBoost,mo_sin_rcnt_tl,0.041845506574381644,24
CatBoost,num_il_tl,0.040687544988854886,25
CatBoost,total_acc,0.04068484943190054,26
CatBoost,num_rev_tl_bal_gt_0,0.040089350878961365,27
CatBoost,emp_length,0.03826370431507898,28
CatBoost,bc_util,0.03783325885062768,29
CatBoost,revol_util,0.037351469870161226,30
