model,feature,mean_abs_attribution,point_rank,in_top10_frequency,rank_ci_low,rank_median,rank_ci_high
EBM,num_tl_90g_dpd_24m,0.0035078623332083225,55,0.0,54.0,55.0,56.0
EBM,delinq_amnt,0.0027637628372758627,56,0.0,55.0,56.0,57.0
EBM,pub_rec_bankruptcies,0.0024909498170018196,57,0.0,56.0,57.0,57.0
EBM,disbursement_method,0.0012380427215248346,58,0.0,58.0,58.0,59.0
EBM,num_tl_30dpd,0.0008860873058438301,59,0.0,58.0,59.0,59.0
EBM,acc_now_delinq,0.0005634853150695562,60,0.0,60.0,60.0,60.0
EBM,chargeoff_within_12_mths,0.00022605209960602224,61,0.0,61.0,61.0,62.0
EBM,num_tl_120dpd_2m,0.00019469203834887594,62,0.0,61.0,62.0,62.0
XGBoost,term,0.34030792117118835,1,1.0,1.0,1.0,1.0
XGBoost,loan_amnt,0.2119431048631668,2,1.0,2.0,2.0,2.0
XGBoost,dti,0.1931396871805191,3,1.0,3.0,3.0,4.0
XGBoost,fico_range_low,0.18894900381565094,4,1.0,3.0,4.0,4.0
XGBoost,addr_state,0.15687640011310577,5,1.0,5.0,5.0,5.0
XGBoost,annual_inc,0.13326337933540344,6,1.0,6.0,6.0,7.0
XGBoost,acc_open_past_24mths,0.12825721502304077,7,1.0,6.0,7.0,8.0
XGBoost,purpose,0.12524652481079102,8,1.0,7.0,8.0,8.0
XGBoost,home_ownership,0.11933708935976028,9,1.0,9.0,9.0,9.0
XGBoost,total_il_high_credit_limit,0.0767151266336441,10,0.985,10.0,10.0,10.0
XGBoost,mo_sin_old_rev_tl_op,0.07214412838220596,11,0.011,11.0,12.0,13.0
XGBoost,mths_since_recent_inq,0.07209838181734085,12,0.004,11.0,12.0,13.0
XGBoost,tot_hi_cred_lim,0.06984154880046844,13,0.0,12.0,13.0,14.0
XGBoost,percent_bc_gt_75,0.0685671865940094,14,0.0,13.0,14.0,14.0
XGBoost,mths_since_recent_bc,0.06411019712686539,15,0.0,15.0,15.0,18.0
XGBoost,total_bc_limit,0.0638725608587265,16,0.0,15.0,16.0,18.0
XGBoost,delinq_2yrs,0.06283427029848099,17,0.0,15.0,17.0,19.0
XGBoost,num_tl_op_past_12m,0.062210261821746826,18,0.0,16.0,18.0,19.0
XGBoost,verification_status,0.06041013076901436,19,0.0,18.0,19.0,19.0
XGBoost,bc_util,0.05490536242723465,20,0.0,20.0,20.0,21.0
XGBoost,total_acc,0.054627567529678345,21,0.0,20.0,21.0,21.0
XGBoost,mort_acc,0.05157041549682617,22,0.0,22.0,22.0,22.0
XGBoost,inq_last_6mths,0.047314662486314774,23,0.0,23.0,23.0,25.0
XGBoost,total_rev_hi_lim,0.046663377434015274,24,0.0,23.0,24.0,26.0
XGBoost,credit_history_months,0.04526795819401741,25,0.0,23.0,25.0,27.0
XGBoost,emp_length,0.04473268240690231,26,0.0,24.0,26.0,27.0
XGBoost,mo_sin_rcnt_rev_tl_op,0.04234137013554573,27,0.0,27.0,27.0,28.0
XGBoost,num_il_tl,0.04218852519989014,28,0.0,26.0,28.0,28.0
XGBoost,total_bal_ex_mort,0.03970912843942642,29,0.0,29.0,29.0,30.0
XGBoost,num_actv_rev_tl,0.03951284661889076,30,0.0,29.0,30.0,31.0
XGBoost,revol_util,0.03764403983950615,31,0.0,30.0,31.0,31.0
XGBoost,bc_open_to_buy,0.03530101478099823,32,0.0,32.0,32.0,34.0
XGBoost,revol_bal,0.034858591854572296,33,0.0,32.0,33.0,34.0
XGBoost,mo_sin_rcnt_tl,0.0342450849711895,34,0.0,32.0,34.0,34.0
XGBoost,tot_cur_bal,0.03139612823724747,35,0.0,35.0,35.0,35.0
XGBoost,pct_tl_nvr_dlq,0.027474775910377502,36,0.0,36.0,36.0,37.0
XGBoost,num_rev_accts,0.027457954362034798,37,0.0,36.0,37.0,37.0
XGBoost,num_bc_sats,0.025627827271819115,38,0.0,38.0,38.0,38.0
XGBoost,avg_cur_bal,0.023561447858810425,39,0.0,39.0,39.0,39.0
XGBoost,num_actv_bc_tl,0.01948906108736992,40,0.0,40.0,40.0,41.0
XGBoost,mo_sin_old_il_acct,0.018583117052912712,41,0.0,40.0,41.0,41.0
XGBoost,num_bc_tl,0.0164186954498291,42,0.0,42.0,42.0,42.0
XGBoost,num_accts_ever_120_pd,0.01386286225169897,43,0.0,43.0,43.0,44.0
XGBoost,pub_rec,0.013210906647145748,44,0.0,43.0,44.0,44.0
XGBoost,num_rev_tl_bal_gt_0,0.010886413976550102,45,0.0,45.0,45.0,45.0
XGBoost,num_op_rev_tl,0.00913372915238142,46,0.0,46.0,46.0,46.0
XGBoost,initial_list_status,0.008048774674534798,47,0.0,47.0,47.0,47.0
XGBoost,pub_rec_bankruptcies,0.006213095039129257,48,0.0,48.0,48.0,49.0
XGBoost,tot_coll_amt,0.005680280737578869,49,0.0,48.0,49.0,51.0
XGBoost,open_acc,0.005297657568007708,50,0.0,49.0,50.0,52.0
XGBoost,num_sats,0.0052614337764680386,51,0.0,49.0,51.0,52.0
XGBoost,application_type,0.004944931250065565,52,0.0,49.0,52.0,52.0
XGBoost,collections_12_mths_ex_med,0.00391989154741168,53,0.0,53.0,53.0,53.0
XGBoost,num_tl_90g_dpd_24m,0.0026400757487863302,54,0.0,54.0,54.0,56.0
XGBoost,disbursement_method,0.0021123208571225405,55,0.0,54.0,55.0,56.0
XGBoost,delinq_amnt,0.0020643447060137987,56,0.0,54.0,56.0,56.0
XGBoost,tax_liens,0.0012043145252391696,57,0.0,57.0,57.0,57.0
XGBoost,chargeoff_within_12_mths,0.00038993614725768566,58,0.0,58.0,58.0,59.0
XGBoost,num_tl_30dpd,0.00031265828874893486,59,0.0,58.0,59.0,59.0
XGBoost,acc_now_delinq,0.00012349092867225409,60,0.0,60.0,60.0,60.0
XGBoost,num_tl_120dpd_2m,3.662157178041525e-05,61,0.0,61.0,61.0,61.0
XGBoost,fico_range_high,0.0,62,0.0,62.0,62.0,62.0
CatBoost,term,0.3398438096046448,1,1.0,1.0,1.0,1.0
CatBoost,loan_amnt,0.2311347872018814,2,1.0,2.0,2.0,2.0
CatBoost,dti,0.2045937478542328,3,1.0,3.0,3.0,3.0
CatBoost,addr_state,0.158445805311203,4,1.0,4.0,4.0,4.0
CatBoost,acc_open_past_24mths,0.1447659432888031,5,1.0,5.0,5.0,6.0
CatBoost,annual_inc,0.1385864019393921,6,1.0,5.0,6.0,7.0
CatBoost,purpose,0.1352863609790802,7,1.0,6.0,7.0,7.0
CatBoost,home_ownership,0.1217549592256546,8,1.0,8.0,8.0,8.0
CatBoost,fico_range_high,0.09403993934392929,9,1.0,9.0,9.0,9.0
CatBoost,fico_range_low,0.0787297710776329,10,0.992,10.0,10.0,10.0
CatBoost,mths_since_recent_inq,0.07349388301372528,11,0.008,11.0,11.0,11.0
CatBoost,total_il_high_credit_limit,0.07039664685726166,12,0.0,12.0,12.0,14.0
CatBoost,total_bc_limit,0.06872569024562836,13,0.0,12.0,14.0,16.0
CatBoost,mo_sin_old_rev_tl_op,0.06848778575658798,14,0.0,12.0,14.0,17.0
CatBoost,mths_since_recent_bc,0.06751349568367004,15,0.0,13.0,15.0,18.0
CatBoost,tot_hi_cred_lim,0.06670897454023361,16,0.0,14.0,16.0,18.0
CatBoost,num_tl_op_past_12m,0.06615675240755081,17,0.0,14.0,17.0,18.0
CatBoost,verification_status,0.06613685190677643,18,0.0,15.0,17.0,18.0
CatBoost,total_acc,0.060950275510549545,19,0.0,19.0,20.0,21.0
CatBoost,delinq_2yrs,0.0607806071639061,20,0.0,19.0,20.0,21.0
CatBoost,percent_bc_gt_75,0.060716163367033005,21,0.0,19.0,20.0,21.0
CatBoost,mort_acc,0.05260976776480675,22,0.0,22.0,22.0,24.0
CatBoost,bc_util,0.05235239863395691,23,0.0,22.0,23.0,24.0
CatBoost,inq_last_6mths,0.05157429724931717,24,0.0,22.0,24.0,25.0
CatBoost,mo_sin_rcnt_rev_tl_op,0.049705542623996735,25,0.0,24.0,25.0,26.0
CatBoost,emp_length,0.048696525394916534,26,0.0,25.0,26.0,28.0
CatBoost,revol_bal,0.04772556200623512,27,0.0,25.975000381469727,27.0,28.0
CatBoost,total_rev_hi_lim,0.04663734883069992,28,0.0,26.0,28.0,28.0
CatBoost,num_il_tl,0.040703289210796356,29,0.0,29.0,29.0,31.0
CatBoost,num_actv_rev_tl,0.03994731977581978,30,0.0,29.0,30.0,31.0
CatBoost,credit_history_months,0.03982553258538246,31,0.0,29.0,30.5,31.0
CatBoost,revol_util,0.03713046386837959,32,0.0,32.0,32.0,33.0
CatBoost,bc_open_to_buy,0.03639323264360428,33,0.0,32.0,33.0,33.0
CatBoost,mo_sin_rcnt_tl,0.03307735174894333,34,0.0,34.0,34.0,35.0
CatBoost,tot_cur_bal,0.03237703815102577,35,0.0,34.0,35.0,35.0
CatBoost,total_bal_ex_mort,0.029787413775920868,36,0.0,36.0,36.0,36.0
CatBoost,num_bc_sats,0.026873186230659485,37,0.0,37.0,37.0,38.0
CatBoost,pct_tl_nvr_dlq,0.02588481642305851,38,0.0,37.0,38.0,39.0
CatBoost,num_rev_accts,0.024928584694862366,39,0.0,38.0,39.0,39.0
CatBoost,num_actv_bc_tl,0.023446006700396538,40,0.0,40.0,40.0,41.0
CatBoost,mo_sin_old_il_acct,0.022876597940921783,41,0.0,40.0,41.0,41.0
CatBoost,avg_cur_bal,0.01692243665456772,42,0.0,42.0,42.0,43.0
CatBoost,num_bc_tl,0.016358470544219017,43,0.0,42.0,43.0,44.0
CatBoost,num_rev_tl_bal_gt_0,0.01569017395377159,44,0.0,43.0,44.0,44.025001525878906
CatBoost,num_accts_ever_120_pd,0.014724825508892536,45,0.0,44.974998474121094,45.0,45.0
CatBoost,pub_rec,0.011585927568376064,46,0.0,46.0,46.0,47.0
CatBoost,initial_list_status,0.011055066250264645,47,0.0,46.0,47.0,47.0
CatBoost,num_op_rev_tl,0.009011927992105484,48,0.0,48.0,48.0,48.0
CatBoost,pub_rec_bankruptcies,0.007349800318479538,49,0.0,49.0,49.0,50.0
CatBoost,num_sats,0.006463074591010809,50,0.0,50.0,50.0,52.0
CatBoost,application_type,0.006210214924067259,51,0.0,49.0,51.0,52.0
CatBoost,tot_coll_amt,0.006097215693444014,52,0.0,50.0,51.0,52.0
CatBoost,open_acc,0.004899024032056332,53,0.0,53.0,53.0,53.0
CatBoost,collections_12_mths_ex_med,0.004026877693831921,54,0.0,54.0,54.0,54.0
CatBoost,num_tl_90g_dpd_24m,0.0024157718289643526,55,0.0,55.0,55.0,57.0
CatBoost,delinq_amnt,0.002171224681660533,56,0.0,55.0,56.0,58.0
CatBoost,disbursement_method,0.0018384241266176105,57,0.0,55.0,57.0,58.0
CatBoost,tax_liens,0.0015197466127574444,58,0.0,57.0,58.0,58.0
CatBoost,num_tl_30dpd,0.00030003199935890734,59,0.0,59.0,59.0,61.0
CatBoost,chargeoff_within_12_mths,0.00028343984740786254,60,0.0,59.0,60.0,61.0
CatBoost,acc_now_delinq,0.0001657420361880213,61,0.0,60.0,61.0,61.0
CatBoost,num_tl_120dpd_2m,2.9232669476186857e-05,62,0.0,62.0,62.0,62.0
