dataset,model,roi,emp,eta,prior_default_frozen,baseline_roi
home_credit,LR,0.25,0.0014228585251016479,0.014823884788887375,0.08072908198107379,0.2644
home_credit,LR,0.3,0.0010281753759088668,0.010568534718100892,0.08072908198107379,0.2644
home_credit,LR,0.35,0.0007498328178475156,0.00791247760913111,0.08072908198107379,0.2644
home_credit,LR,0.4,0.0005398856154284029,0.005427558798030249,0.08072908198107379,0.2644
home_credit,LR,0.45,0.00038977648332908204,0.0040941955824569665,0.08072908198107379,0.2644
home_credit,LR,0.5,0.0002774473216087159,0.0034605355806004824,0.08072908198107379,0.2644
home_credit,EBM,0.1,0.005885553879591247,0.07650426536217075,0.08072908198107379,0.2644
home_credit,EBM,0.15,0.0037366855054824094,0.04267226735348956,0.08072908198107379,0.2644
home_credit,EBM,0.2,0.0024568930894393816,0.027746426664571104,0.08072908198107379,0.2644
home_credit,EBM,0.25,0.0017389793381601918,0.017099282747167294,0.08072908198107379,0.2644
home_credit,EBM,0.3,0.001276924014777421,0.011392792380156244,0.08072908198107379,0.2644
home_credit,EBM,0.35,0.0009469054141500641,0.009170345611800938,0.08072908198107379,0.2644
home_credit,EBM,0.4,0.0007264210869937899,0.006636224799014399,0.08072908198107379,0.2644
home_credit,EBM,0.45,0.0005441948278480623,0.004817188855495459,0.08072908198107379,0.2644
home_credit,EBM,0.5,0.0004147162301802918,0.004178498922704678,0.08072908198107379,0.2644
home_credit,XGBoost,0.1,0.0058168062301710895,0.07414484619159899,0.08072908198107379,0.2644
home_credit,XGBoost,0.15,0.0037076685708175927,0.043124349662415976,0.08072908198107379,0.2644
home_credit,XGBoost,0.2,0.0025090069279578263,0.027636256451699558,0.08072908198107379,0.2644
home_credit,XGBoost,0.25,0.001723568966245708,0.016662997529692178,0.08072908198107379,0.2644
home_credit,XGBoost,0.3,0.001251063488890152,0.01187734919657302,0.08072908198107379,0.2644
home_credit,XGBoost,0.35,0.00093147961903924,0.008940034538535679,0.08072908198107379,0.2644
home_credit,XGBoost,0.4,0.0007177818776074897,0.006159900093467922,0.08072908198107379,0.2644
home_credit,XGBoost,0.45,0.0005480730631102059,0.005321115947213028,0.08072908198107379,0.2644
home_credit,XGBoost,0.5,0.00042894971654983377,0.003893492876781749,0.08072908198107379,0.2644
home_credit,CatBoost,0.1,0.0057932526641530264,0.07541640190002052,0.08072908198107379,0.2644
home_credit,CatBoost,0.15,0.00368350046189074,0.04133401347200279,0.08072908198107379,0.2644
home_credit,CatBoost,0.2,0.00248243773402973,0.02633769160934113,0.08072908198107379,0.2644
home_credit,CatBoost,0.25,0.001715948554890905,0.016703042154388247,0.08072908198107379,0.2644
home_credit,CatBoost,0.3,0.0012605021268805058,0.011883275394749808,0.08072908198107379,0.2644
home_credit,CatBoost,0.35,0.0009345697112591208,0.008995692581103472,0.08072908198107379,0.2644
home_credit,CatBoost,0.4,0.0007007044345674442,0.005481862716473359,0.08072908198107379,0.2644
home_credit,CatBoost,0.45,0.0005513584808800908,0.004829958089571712,0.08072908198107379,0.2644
home_credit,CatBoost,0.5,0.0004221449696407683,0.004178053462670065,0.08072908198107379,0.2644
lending_club,LR,0.1,0.028677807949863156,0.24445850688165827,0.1996497194038726,0.1323973032110603
lending_club,LR,0.15,0.021167497870970026,0.17630532915043198,0.1996497194038726,0.1323973032110603
lending_club,LR,0.2,0.015820679020098767,0.1318113216838008,0.1996497194038726,0.1323973032110603
lending_club,LR,0.25,0.011939030315164929,0.10217191176367958,0.1996497194038726,0.1323973032110603
lending_club,LR,0.3,0.009158904693315541,0.07394494184089899,0.1996497194038726,0.1323973032110603
lending_club,LR,0.35,0.007124909353979409,0.05574034871483006,0.1996497194038726,0.1323973032110603
lending_club,LR,0.4,0.005627998828555709,0.04515318448377666,0.1996497194038726,0.1323973032110603
lending_club,LR,0.45,0.004512339501457586,0.03378122044467237,0.1996497194038726,0.1323973032110603
lending_club,LR,0.5,0.003648450295609843,0.028459842622203347,0.1996497194038726,0.1323973032110603
lending_club,EBM,0.1,0.029360718887169696,0.2388350892164738,0.1996497194038726,0.1323973032110603
lending_club,EBM,0.15,0.022009814034833843,0.17786042160038998,0.1996497194038726,0.1323973032110603
lending_club,EBM,0.2,0.016746175049509322,0.13213317148550435,0.1996497194038726,0.1323973032110603
lending_club,EBM,0.25,0.012968341551603948,0.10105826933738843,0.1996497194038726,0.1323973032110603
lending_club,EBM,0.3,0.010097436557975702,0.0795288599204316,0.1996497194038726,0.1323973032110603
lending_club,EBM,0.35,0.008026885946472445,0.06031715219034098,0.1996497194038726,0.1323973032110603
lending_club,EBM,0.4,0.006416278911916299,0.04822919241889993,0.1996497194038726,0.1323973032110603
lending_club,EBM,0.45,0.005202841862928782,0.03945015489568547,0.1996497194038726,0.1323973032110603
lending_club,EBM,0.5,0.004249630579533873,0.031145757529790277,0.1996497194038726,0.1323973032110603
